temp_min,temp_max,wind_max,will_rain,thermo_profile,warmth_shift,required_warmth
-21,-16,4.8047343910466,1,-1,0.0,20.0
13,14,1.4114489735218216,0,-1,0.0,4.0
30,35,1.8367544202403678,1,0,0.0,2.0
28,32,13.616083309306603,0,1,0.0,1.0
4,11,1.6653741803536266,1,-1,0.0,5.0
-4,-1,7.537999763391341,0,1,0.0,7.0
-8,-3,7.311604935547621,1,0,0.0,9.0
-21,-18,8.098892278965137,1,-1,0.0,20.0
32,32,0.4117445087763688,1,0,0.0,2.0
-6,-5,11.549578383307727,0,1,0.0,13.0
2,11,1.0575833577335492,1,-1,0.0,5.0
-5,-4,2.8492867810333666,1,-1,0.0,10.0
19,26,11.001185512034354,1,1,0.0,2.0
-13,-8,14.331949722057857,1,1,0.0,14.0
-9,0,4.4785150290073155,1,1,0.0,8.0
-1,3,13.01173069929511,1,-1,0.0,11.0
-22,-19,9.484980296538353,0,0,0.0,18.0
-2,7,10.173664145779327,0,-1,0.0,7.0
1,7,7.6946411070162215,0,1,0.0,4.0
-1,6,11.932839664809979,1,-1,0.0,8.0
28,28,7.891743787223029,1,-1,0.0,3.0
-10,-4,3.2407263122701884,1,-1,0.0,10.0
6,11,5.75408728853135,0,1,0.0,2.0
6,15,7.1695930241802355,0,0,0.0,3.0
-11,-6,0.1136312625957503,1,-1,0.0,15.0
-10,-8,7.438540652759124,0,-1,0.0,14.0
11,18,2.459916139886759,1,1,0.0,3.0
17,22,9.776966070974586,1,0,0.0,2.0
20,22,7.839242236610026,1,0,0.0,2.0
14,16,13.74714859365329,1,-1,0.0,6.0
8,12,10.506625102129588,1,0,0.0,5.0
-12,-12,9.241803117083345,1,1,0.0,13.0
-23,-15,13.37194252058512,1,0,0.0,20.0
-10,-4,10.42026151341079,1,0,0.0,10.0
-16,-9,6.9623787996432505,1,1,0.0,13.0
16,19,3.0836951583293937,0,0,0.0,1.0
-4,2,2.0906708353333876,1,1,0.0,8.0
-15,-12,2.657971483374766,1,-1,0.0,15.0
12,16,12.785916319749012,0,1,0.0,3.0
17,22,12.412331399465382,1,-1,0.0,4.0
-9,-1,14.979708979058078,1,1,0.0,9.0
27,30,13.805022196217124,0,0,0.0,2.0
34,35,4.511314097392302,1,1,0.0,1.0
-11,-4,11.081430897677743,0,1,0.0,8.0
-17,-12,3.74977757912994,0,-1,0.0,14.0
0,8,10.559165617562563,1,-1,0.0,8.0
29,35,2.624522434797517,1,1,0.0,1.0
13,13,14.223832393483868,0,0,0.0,4.0
-6,-6,13.587749352879301,1,1,0.0,14.0
20,23,9.136327679290442,1,1,0.0,1.0
-4,-2,11.701026630382,1,-1,0.0,11.0
10,14,5.818059323135371,0,0,0.0,3.0
-22,-13,12.982964935650717,0,1,0.0,13.0
17,27,4.55693970985854,1,1,0.0,1.0
-19,-10,8.128746297917884,1,1,0.0,13.0
2,6,14.719446644982254,0,0,0.0,6.0
-17,-11,8.105762698967542,1,0,0.0,14.0
2,10,14.407168144449324,1,0,0.0,7.0
14,18,10.389257665011154,1,1,0.0,4.0
4,5,5.935274420663719,0,1,0.0,4.0
-16,-13,1.2784427731159809,0,0,0.0,13.0
8,18,9.653664769304465,0,1,0.0,2.0
-9,-3,4.778935115405371,0,-1,0.0,9.0
23,26,10.097304661669067,1,1,0.0,2.0
-10,-8,1.3052238797740405,1,-1,0.0,15.0
25,30,2.084596273736686,0,0,0.0,1.0
2,7,6.209613269042954,1,-1,0.0,7.0
-21,-13,9.890290048204871,0,1,0.0,12.0
8,11,0.31884908994974703,0,-1,0.0,4.0
26,29,7.571141804144144,1,-1,0.0,3.0
21,23,7.985198146355345,0,-1,0.0,2.0
-26,-16,7.449285376929707,1,-1,0.0,20.0
-14,-13,14.754254468220783,1,1,0.0,14.0
-22,-14,11.833082126994974,0,1,0.0,13.0
-24,-19,12.66260762160792,0,-1,0.0,20.0
34,34,0.7576740462460435,0,-1,0.0,2.0
13,20,9.229463773193125,0,1,0.0,0.0
-22,-16,10.642628410422924,1,-1,0.0,21.0
23,28,9.74643879824238,0,0,0.0,1.0
21,31,9.648408186506096,0,0,0.0,1.0
-20,-10,3.4660025915827415,1,0,0.0,14.0
-28,-20,8.088050261726973,0,0,0.0,18.0
16,22,7.97451697944424,1,1,0.0,1.0
1,5,9.48614114192694,0,1,0.0,4.0
-2,2,14.043736638636336,1,-1,0.0,11.0
-2,8,14.922416967275657,0,-1,0.0,7.0
-24,-19,0.6481484966074857,1,0,0.0,19.0
29,34,9.961086275402806,0,0,0.0,1.0
26,32,6.305877845199385,1,-1,0.0,3.0
16,23,14.325583604129333,0,-1,0.0,3.0
29,30,7.045990181876652,0,1,0.0,0.0
19,21,4.732164204292668,1,-1,0.0,3.0
-24,-14,11.78881692245663,0,0,0.0,14.0
-5,0,1.8923017438773644,0,0,0.0,8.0
28,31,7.7473950403524094,1,-1,0.0,3.0
15,24,7.48554679530164,0,-1,0.0,2.0
0,7,6.25674457133036,0,0,0.0,5.0
-15,-13,10.550141190367754,0,-1,0.0,15.0
4,9,0.39329379849587176,1,1,0.0,5.0
-21,-20,3.6023536917250274,0,-1,0.0,19.0
-3,2,14.08244209508378,1,-1,0.0,11.0
-4,4,11.995680176012996,0,1,0.0,5.0
6,13,10.233114202782625,0,-1,0.0,5.0
-9,0,2.0520065206712665,1,-1,0.0,10.0
-5,1,8.96872467042058,1,-1,0.0,10.0
-1,4,14.237118808115069,0,1,0.0,5.0
10,20,10.848890808938298,1,-1,0.0,4.0
-8,1,2.1980379994149324,0,0,0.0,8.0
-19,-11,4.7043908094905005,1,1,0.0,13.0
-16,-9,1.4515582100144302,1,1,0.0,13.0
11,14,6.730729323155213,1,1,0.0,3.0
-4,0,7.802160135569482,0,-1,0.0,9.0
-8,0,6.241141536075415,1,1,0.0,8.0
-5,-5,10.745284896307334,0,0,0.0,14.0
21,21,12.05355163481454,1,-1,0.0,4.0
0,0,2.0914672814736814,1,1,0.0,8.0
26,29,14.902335007912415,1,0,0.0,3.0
-16,-11,9.307618419209016,1,0,0.0,14.0
3,3,7.355670957549248,0,-1,0.0,9.0
1,8,8.0561878852027,1,-1,0.0,7.0
14,24,10.844282450399833,1,1,0.0,2.0
23,31,11.537773561390015,1,-1,0.0,4.0
-3,7,10.637984054478698,0,-1,0.0,7.0
1,10,13.867879128000984,1,1,0.0,6.0
18,28,0.7378019191717755,1,1,0.0,1.0
7,11,11.407646870659855,1,-1,0.0,6.0
-23,-16,11.88180848290337,1,0,0.0,20.0
12,15,10.697774763923098,0,-1,0.0,5.0
26,31,0.4902268321325548,1,-1,0.0,3.0
-18,-13,9.382968032749512,1,-1,0.0,15.0
-2,8,11.484700002797496,0,0,0.0,6.0
14,21,10.899006961408782,0,1,0.0,1.0
10,14,12.161477610060295,1,-1,0.0,6.0
-3,2,4.711407716038432,0,0,0.0,8.0
-10,-1,1.3735469430512963,0,-1,0.0,9.0
-19,-11,14.995755971655328,0,-1,0.0,15.0
26,27,10.856367707028937,0,-1,0.0,3.0
14,20,1.602577352253764,1,1,0.0,1.0
16,21,6.75337959230365,1,0,0.0,2.0
-9,0,4.295898465172312,0,-1,0.0,9.0
16,17,11.920842247077843,0,-1,0.0,5.0
14,18,6.942294904143186,0,-1,0.0,4.0
31,35,6.6866575966875335,0,-1,0.0,2.0
13,23,3.5744479904973065,1,1,0.0,1.0
-10,-6,0.5174178043203687,1,0,0.0,14.0
-7,-7,1.4647288089468198,1,1,0.0,13.0
21,28,11.401075254422848,1,1,0.0,2.0
-4,3,1.7976712491647973,0,1,0.0,7.0
13,23,1.4225608979352726,1,0,0.0,2.0
6,14,1.2463750299739567,1,0,0.0,4.0
-11,-9,8.577222665275343,1,1,0.0,13.0
-18,-15,12.900990372433807,0,0,0.0,19.0
-23,-14,4.848219346087176,0,0,0.0,13.0
-19,-17,3.7297891193413153,1,0,0.0,19.0
3,9,8.698190029447167,0,-1,0.0,6.0
0,5,5.984457333012654,1,0,0.0,6.0
-17,-11,9.984799980203341,1,0,0.0,14.0
11,18,9.16844113426391,0,0,0.0,3.0
13,15,0.9250798150938438,1,-1,0.0,5.0
30,34,7.439631837205491,0,1,0.0,0.0
-16,-11,5.809956994912613,0,0,0.0,13.0
-15,-6,1.367105977360838,0,1,0.0,12.0
14,14,4.138618813377219,1,-1,0.0,5.0
-28,-19,3.1503365243386,1,1,0.0,18.0
-10,-9,2.736127793160276,1,0,0.0,14.0
16,26,8.653063114675588,1,1,0.0,1.0
6,8,13.998319718738742,1,0,0.0,7.0
-27,-20,10.332760576882036,1,0,0.0,20.0
-24,-19,4.416828852739018,1,0,0.0,19.0
18,20,12.415416240250705,1,0,0.0,3.0
21,30,2.9964323737499083,1,0,0.0,2.0
-9,-2,0.8775570488175916,1,1,0.0,8.0
-6,3,0.9154688064278671,1,0,0.0,9.0
-9,-5,8.684316928368721,1,1,0.0,13.0
8,11,9.82203210608076,0,0,0.0,3.0
11,19,8.401219508597514,1,1,0.0,1.0
2,5,13.435945143337063,1,0,0.0,7.0
-5,5,10.099596116864905,0,0,0.0,6.0
-14,-6,0.2741569811821648,0,0,0.0,13.0
26,32,5.737854743139791,1,-1,0.0,3.0
-19,-16,0.9407638290707132,1,0,0.0,19.0
1,6,0.3755236591341804,0,-1,0.0,6.0
5,14,12.491822795459933,1,-1,0.0,6.0
-26,-17,9.013623863932526,1,-1,0.0,20.0
3,12,12.740180118160572,1,0,0.0,5.0
-15,-7,11.88776727285543,0,1,0.0,13.0
9,18,2.8245414646004567,1,0,0.0,4.0
-28,-18,4.3669356417493645,0,1,0.0,17.0
7,9,0.3501206200095669,0,-1,0.0,6.0
-29,-20,10.509164774025393,0,-1,0.0,20.0
25,26,6.687211490486479,0,0,0.0,1.0
17,20,2.8546799148282624,0,-1,0.0,2.0
-19,-13,0.5093218707044067,0,-1,0.0,14.0
-13,-3,4.624292506521997,1,0,0.0,9.0
7,10,1.5954479325940656,1,-1,0.0,7.0
8,11,3.9383224900745724,1,-1,0.0,5.0
25,28,12.659560075503315,1,-1,0.0,4.0
-2,1,7.924872968204224,0,0,0.0,8.0
25,29,8.327687326582756,1,1,0.0,1.0
-9,-8,12.820854833749946,0,-1,0.0,15.0
-22,-13,7.359726330880516,0,0,0.0,13.0
-21,-14,9.022010863485223,0,-1,0.0,14.0
-8,-8,12.390524628415132,0,0,0.0,14.0
14,17,8.930208823945803,1,-1,0.0,5.0
-27,-19,8.507007136402205,1,-1,0.0,20.0
3,8,14.765047753475931,1,-1,0.0,8.0
-17,-13,5.119288246807718,0,0,0.0,13.0
10,15,0.44540559128520674,0,-1,0.0,4.0
-7,-6,7.24335843325074,1,1,0.0,13.0
-25,-16,3.2044866230516647,0,-1,0.0,19.0
28,32,12.29935422856489,0,-1,0.0,3.0
26,28,4.631872472889231,0,0,0.0,1.0
12,20,5.680446096571473,1,-1,0.0,3.0
-25,-20,7.731971017199568,0,1,0.0,17.0
14,19,8.309838669578678,0,0,0.0,1.0
0,9,1.3398997061691353,0,0,0.0,5.0
7,13,9.28761546742121,1,-1,0.0,5.0
8,14,0.8063818385355315,0,1,0.0,2.0
-21,-16,13.28760970967006,1,1,0.0,19.0
23,32,6.967629942690751,1,0,0.0,2.0
18,27,2.0169210338423618,0,-1,0.0,2.0
3,4,6.309009036973064,0,-1,0.0,6.0
24,25,8.854297976682531,1,0,0.0,2.0
33,33,8.571080826850576,0,0,0.0,1.0
-24,-16,10.196758182884803,1,1,0.0,19.0
-18,-15,9.732349169199606,1,-1,0.0,20.0
10,15,5.333117801476436,1,-1,0.0,5.0
-15,-6,12.194774330532493,0,0,0.0,14.0
-10,-9,14.465158507644636,0,0,0.0,14.0
-16,-9,2.2307859446824194,1,0,0.0,14.0
24,33,14.408706516684534,0,1,0.0,1.0
-21,-13,3.1247059585227506,0,-1,0.0,14.0
-6,-6,8.607969887006842,0,0,0.0,13.0
9,15,4.290667187613114,0,-1,0.0,4.0
0,3,14.53819971648764,1,-1,0.0,11.0
-1,8,5.665678944215148,1,-1,0.0,7.0
17,21,1.2634653901596722,1,1,0.0,1.0
1,3,9.18671574182047,1,0,0.0,9.0
-4,-3,13.56354617123248,0,0,0.0,9.0
27,29,2.9771145970871165,0,-1,0.0,2.0
8,10,0.09629927571760899,0,-1,0.0,6.0
-5,-1,0.3262347538863225,0,1,0.0,7.0
-1,0,13.273860633846615,1,1,0.0,9.0
-14,-7,10.318022110128801,1,1,0.0,14.0
7,15,14.272416031091662,0,1,0.0,3.0
-21,-16,9.102117183980843,0,1,0.0,17.0
-24,-16,0.8089814649711824,1,0,0.0,19.0
31,33,8.105723197296323,1,0,0.0,2.0
0,10,7.723199811444291,0,1,0.0,4.0
-6,-1,1.6817032207877092,0,0,0.0,8.0
-1,0,13.227832423348438,1,0,0.0,10.0
-2,7,3.964850257031425,0,0,0.0,5.0
-22,-15,7.328424245195007,1,1,0.0,18.0
20,23,10.292901761393741,1,0,0.0,3.0
-1,4,4.829425628655024,1,0,0.0,6.0
-20,-19,10.399881113760154,1,0,0.0,20.0
-1,2,10.51490457681812,0,1,0.0,8.0
-18,-9,4.1617683046477305,0,1,0.0,12.0
-9,-3,10.35958722827469,1,-1,0.0,11.0
20,25,12.035816662719194,1,0,0.0,3.0
1,1,8.767865125669847,0,1,0.0,7.0
7,17,3.892920355881622,0,-1,0.0,4.0
-18,-12,10.777157715918277,0,-1,0.0,15.0
-11,-1,11.356072165085136,0,1,0.0,8.0
-23,-19,12.539402581605053,1,0,0.0,20.0
9,9,4.173384400422978,1,0,0.0,6.0
-21,-16,3.7906213349723714,1,0,0.0,19.0
-11,-9,7.068747876174351,1,1,0.0,13.0
17,20,4.219829689444423,1,-1,0.0,3.0
4,9,7.0768160509771425,1,1,0.0,5.0
9,16,0.6400009823421138,1,0,0.0,4.0
12,17,14.648254064325393,0,0,0.0,4.0
10,18,5.6687053188881364,1,0,0.0,4.0
-15,-14,13.728457363470982,1,1,0.0,14.0
8,9,14.155864271559578,1,0,0.0,7.0
-17,-11,10.240054301063738,0,0,0.0,14.0
6,11,9.88572049520504,0,1,0.0,2.0
25,30,8.733427807937417,1,-1,0.0,3.0
-14,-12,3.711652930876605,0,1,0.0,12.0
6,12,2.2235076286804256,1,1,0.0,3.0
3,3,12.918581633600066,1,0,0.0,10.0
3,5,1.540618174439889,0,1,0.0,4.0
-9,-5,7.00920256426401,1,0,0.0,14.0
6,8,2.4259909266833564,0,1,0.0,4.0
-10,-2,7.999716120412138,0,0,0.0,8.0
19,23,8.027843102698604,1,-1,0.0,3.0
-2,-1,5.464237131411233,1,0,0.0,9.0
-10,0,5.722561160877046,1,0,0.0,9.0
10,10,0.013767680555100137,1,-1,0.0,7.0
-24,-15,3.414072883232591,1,-1,0.0,20.0
-13,-7,14.124042411447789,1,1,0.0,14.0
-10,-6,8.110606427133629,0,1,0.0,12.0
9,9,1.0982061256273756,0,1,0.0,4.0
3,5,12.572659347236245,1,1,0.0,6.0
-9,-3,1.331137583012108,0,-1,0.0,9.0
-6,-2,5.6109158599915325,1,0,0.0,9.0
15,22,3.8169994434414667,1,1,0.0,1.0
28,35,7.640885256591508,0,-1,0.0,2.0
-3,-2,5.956116445644292,1,1,0.0,8.0
-2,4,2.6720190012480423,0,1,0.0,4.0
5,11,8.997530307213058,1,0,0.0,4.0
2,3,5.800947405864515,1,-1,0.0,10.0
-14,-14,10.072663566535876,0,1,0.0,13.0
8,15,13.06507182036766,0,0,0.0,4.0
28,32,3.6145662524585225,1,1,0.0,1.0
2,9,8.503656064419003,1,0,0.0,6.0
25,30,13.880420624973402,0,-1,0.0,3.0
-13,-7,9.029740184841938,0,0,0.0,13.0
9,10,2.8579604833934598,1,-1,0.0,7.0
27,30,14.08319355546862,1,1,0.0,2.0
-26,-19,13.633682467180885,0,0,0.0,19.0
-22,-19,10.844853639918368,0,0,0.0,19.0
-9,-2,7.330014074960924,1,1,0.0,8.0
-22,-12,11.1189136567695,0,-1,0.0,15.0
-17,-12,3.791289360370122,1,1,0.0,13.0
-25,-15,9.264736810173373,0,-1,0.0,19.0
-16,-9,3.9865934815101167,0,-1,0.0,14.0
-21,-14,14.986219975971519,1,-1,0.0,16.0
23,29,4.983825791418392,1,-1,0.0,3.0
5,13,12.630368292566716,1,0,0.0,5.0
-7,-2,8.532948921561399,0,1,0.0,7.0
32,34,12.00583588179577,0,0,0.0,2.0
20,22,1.631242438083309,0,-1,0.0,2.0
11,18,9.17483346775063,0,1,0.0,2.0
6,7,3.946795433379978,1,1,0.0,5.0
11,20,2.492480470217682,1,-1,0.0,3.0
21,26,7.4119416461280965,0,-1,0.0,2.0
11,12,13.429974755530564,0,1,0.0,3.0
-11,-8,4.9049228879217495,0,0,0.0,13.0
12,19,14.151634147864774,1,1,0.0,2.0
7,17,9.839609168067303,1,1,0.0,3.0
3,13,8.714175490293842,1,0,0.0,4.0
-26,-20,14.083591192830063,0,1,0.0,18.0
13,20,14.95701498078548,1,-1,0.0,4.0
25,30,0.9636929499966623,0,0,0.0,1.0
6,16,3.1483600597251167,1,0,0.0,4.0
10,18,11.460899020214653,0,-1,0.0,5.0
4,13,5.376339324452169,1,-1,0.0,5.0
26,28,9.286955244090834,0,1,0.0,0.0
34,35,3.7966114104404847,0,1,0.0,0.0
31,35,9.305790996541424,1,0,0.0,2.0
-23,-17,4.085151446950803,0,1,0.0,17.0
-1,5,2.064389893480447,1,-1,0.0,7.0
18,24,14.890754967225353,0,0,0.0,2.0
26,29,14.705110631351957,0,-1,0.0,3.0
-9,1,6.157819633848462,1,1,0.0,8.0
18,24,5.033160676651709,0,0,0.0,1.0
24,34,3.281276649939585,0,0,0.0,1.0
-2,-2,6.795992729227057,0,1,0.0,7.0
12,17,2.35832013708721,1,0,0.0,4.0
33,34,4.8656008256031456,1,0,0.0,2.0
10,19,6.934135054400507,1,0,0.0,2.0
28,28,7.475121180382861,1,0,0.0,2.0
19,25,6.513157881265259,1,0,0.0,2.0
12,22,9.099212718015355,0,1,0.0,0.0
-7,-6,8.629454226747184,0,0,0.0,13.0
3,4,4.934317262341661,1,1,0.0,5.0
-21,-19,8.972169042818718,0,0,0.0,18.0
-1,-1,4.8977497312093785,1,0,0.0,9.0
-3,1,5.98316704909587,0,-1,0.0,9.0
-15,-10,10.410625771661831,0,1,0.0,13.0
1,11,7.518922357656473,0,0,0.0,3.0
-7,-6,2.4197015372547264,1,-1,0.0,15.0
27,28,12.493843534340911,1,-1,0.0,4.0
-4,0,11.303549660153346,1,1,0.0,9.0
0,2,4.705042254919023,0,0,0.0,8.0
22,32,10.705967045634422,0,-1,0.0,3.0
-9,-8,14.23801259325115,0,1,0.0,13.0
32,34,7.569656395522219,0,0,0.0,1.0
15,17,6.417845705651859,0,-1,0.0,4.0
-6,2,8.375415356960707,1,1,0.0,8.0
-14,-4,5.794266484588472,0,-1,0.0,9.0
5,6,10.183237759399306,0,-1,0.0,7.0
18,28,13.039360075755654,1,0,0.0,3.0
-10,-8,4.729976620273329,0,0,0.0,13.0
-4,5,0.6805515123644407,0,0,0.0,5.0
13,22,7.650657324064626,1,-1,0.0,3.0
-20,-17,14.461742165373417,1,0,0.0,20.0
-12,-10,7.1453769506557805,1,0,0.0,14.0
-7,-1,10.17322599932192,1,-1,0.0,11.0
18,26,13.558714708628651,1,1,0.0,2.0
29,31,3.298384410768062,0,0,0.0,1.0
24,32,3.4964885013749707,0,-1,0.0,2.0
-22,-13,3.5886491392666593,1,-1,0.0,15.0
13,22,5.980288098779502,1,1,0.0,1.0
31,34,3.64110166604282,0,0,0.0,1.0
4,7,7.8504956884023676,0,-1,0.0,6.0
-3,3,4.631662972048912,0,1,0.0,7.0
27,31,6.512137587585187,1,0,0.0,2.0
26,29,7.433438756732983,0,0,0.0,1.0
20,25,8.09759334926363,1,0,0.0,2.0
-4,1,4.248362218309297,1,0,0.0,9.0
11,16,9.776664222375715,0,0,0.0,3.0
18,25,6.420033243193602,0,1,0.0,0.0
27,34,7.535679855949256,0,1,0.0,0.0
-26,-17,0.5996662011131892,1,1,0.0,18.0
30,31,4.577486762451405,1,-1,0.0,3.0
-6,-4,4.9790090909631015,1,-1,0.0,10.0
19,20,2.941367995372114,1,0,0.0,2.0
25,29,9.17374989934597,0,-1,0.0,2.0
-28,-18,10.307632729560217,0,0,0.0,19.0
-19,-12,3.333023484550081,1,1,0.0,13.0
-4,-1,8.400230237987882,1,-1,0.0,10.0
4,11,9.007255514534304,1,1,0.0,3.0
-15,-10,8.747958396648706,0,-1,0.0,14.0
-8,0,9.833557086544285,0,0,0.0,8.0
-3,7,10.12017778092585,0,1,0.0,5.0
11,18,2.272974813569866,0,0,0.0,3.0
11,18,10.47839241415905,1,-1,0.0,6.0
10,14,12.98675799620565,1,1,0.0,4.0
13,20,3.4258319320624486,1,0,0.0,2.0
28,35,12.032345883586922,1,0,0.0,3.0
10,15,7.966001077983514,1,0,0.0,4.0
-10,-7,13.063746911156693,1,0,0.0,15.0
6,7,14.65488222448068,1,1,0.0,6.0
-19,-19,3.482982373504999,1,0,0.0,19.0
0,5,2.279990802547314,1,-1,0.0,7.0
0,4,8.258437661822189,0,0,0.0,5.0
-24,-16,13.04242825339055,0,-1,0.0,20.0
6,7,13.192221858384674,1,1,0.0,6.0
22,25,11.527844341466638,0,0,0.0,2.0
23,33,14.895507471820945,0,-1,0.0,3.0
0,6,4.8980217374984365,0,-1,0.0,6.0
-24,-20,6.243839237869578,1,-1,0.0,20.0
-22,-15,11.935828910321323,1,1,0.0,19.0
10,14,8.214733302965605,1,-1,0.0,5.0
34,35,2.2126731762832295,0,-1,0.0,2.0
-8,-8,13.219058435715032,0,-1,0.0,15.0
28,33,6.889001090054058,1,-1,0.0,3.0
-11,-8,4.097767717789815,0,-1,0.0,14.0
4,4,2.2324898219133256,0,0,0.0,5.0
12,17,11.431173252391233,1,0,0.0,5.0
24,34,1.1197036276830152,1,0,0.0,2.0
-4,1,13.84178114090112,0,-1,0.0,10.0
-16,-10,3.160828096357451,1,0,0.0,14.0
-20,-19,10.816534982004521,1,-1,0.0,21.0
30,34,0.9673271515181475,1,0,0.0,2.0
-26,-17,8.529774421613993,0,1,0.0,17.0
-14,-7,9.275413201049702,1,-1,0.0,15.0
24,29,4.801713758991898,0,-1,0.0,2.0
23,23,11.457571492943108,0,-1,0.0,3.0
-22,-20,2.458776526527497,1,1,0.0,18.0
32,34,0.16364806360643414,0,-1,0.0,2.0
0,1,5.800905955610944,1,-1,0.0,10.0
1,7,4.864341414377511,0,0,0.0,5.0
0,2,10.705524840613357,1,1,0.0,9.0
8,9,9.531974716985781,1,-1,0.0,7.0
-28,-18,0.3106801715058438,0,1,0.0,17.0
20,20,7.635164817373849,0,1,0.0,0.0
-11,-11,11.08998922801015,0,-1,0.0,15.0
25,30,8.274088618652623,0,-1,0.0,2.0
23,30,11.963103420599575,0,-1,0.0,3.0
-5,5,5.555187987981777,1,-1,0.0,7.0
-22,-14,8.314328556924693,0,-1,0.0,14.0
-22,-15,9.96840432887192,0,1,0.0,17.0
-9,-3,2.40597288827703,0,1,0.0,7.0
3,7,10.980692067315545,0,1,0.0,5.0
0,8,8.19452545796453,0,-1,0.0,6.0
3,7,5.435833826005695,1,0,0.0,6.0
32,35,10.61955771951802,0,1,0.0,1.0
-18,-15,9.283470818288196,1,1,0.0,18.0
14,16,5.216399709906345,0,1,0.0,2.0
27,34,1.5492440976957007,0,-1,0.0,2.0
-20,-12,7.935763136378171,1,1,0.0,13.0
19,19,4.3250708471511174,0,1,0.0,0.0
23,24,8.790507295740133,1,1,0.0,1.0
-17,-9,13.204653179270215,1,1,0.0,14.0
-13,-9,10.722903526947702,1,-1,0.0,16.0
-11,-6,0.2732262486211612,0,0,0.0,13.0
11,14,13.810007698523663,1,-1,0.0,6.0
0,10,0.6307978386040552,0,1,0.0,4.0
30,31,8.7337328084626,1,0,0.0,2.0
16,25,14.206404105365404,0,1,0.0,1.0
25,30,0.5820469355893759,1,0,0.0,2.0
-21,-13,2.140615534643145,0,1,0.0,12.0
-18,-13,3.4408428539545426,1,0,0.0,14.0
6,16,12.980325863038763,0,0,0.0,4.0
22,22,5.847350618723071,1,-1,0.0,3.0
-21,-15,9.147797348890021,1,1,0.0,18.0
4,8,6.57172279666058,0,1,0.0,4.0
-2,5,11.686010428037168,1,0,0.0,7.0
-18,-9,7.674711953195904,1,0,0.0,14.0
-5,2,2.812493923606568,1,-1,0.0,10.0
-16,-9,12.079010922327825,1,-1,0.0,16.0
3,6,6.4216993769840895,0,0,0.0,5.0
10,12,1.7797435543282174,1,-1,0.0,5.0
2,3,2.0346114049977393,1,-1,0.0,10.0
-14,-10,11.364221203293488,0,0,0.0,14.0
22,25,11.091823679625284,0,-1,0.0,3.0
-19,-10,11.762224167652791,0,1,0.0,13.0
10,14,13.736183580867346,1,-1,0.0,6.0
3,4,3.5186581793912977,1,1,0.0,5.0
-8,-1,8.164882259780537,0,-1,0.0,9.0
3,11,5.665780562146124,0,1,0.0,2.0
-16,-10,2.4658505031564952,1,1,0.0,13.0
1,2,14.508585998778795,1,-1,0.0,11.0
-20,-17,2.4448169093778773,0,-1,0.0,19.0
